Country Code,Countries/territories,Region,Year,Population group selected,Population analysed,% pop analysed of tot country pop,Population in Phase 3 or above #,Population in Phase 3 or above %,Population in Phase 1 #,Population in Phase 1 %,Population in Phase 2 #,Population in Phase 2 %,Population in Phase 3 #,Population in Phase 3 %,Population in Phase 4 #,Population in Phase 4 %,Population in Phase 5 #,Population in Phase 5 %,Major Food Crisis,Primary driver,Secondary driver,Tertiary driver,Total country population,Total country GDP (US$),GDP per capita (US$)
MHL,Marshall Islands,ASIA,2016,,,,,,,,,,,,,,,,,,,,47709.0,201800000.0,4229.80988911945
MKD,North Macedonia,EU,2016,,,,,,,,,,,,,,,,,,,,1906313.0,10672467073.2873,5598.48622617967
MLI,Mali,WEST AFRICA,2016,Whole country,18343082.0,0.98,240661.43000000005,0.013120010584916976,16247364.68,0.8857488986856189,1855055.89,0.10113109072946411,240661.43000000005,0.013120010584916976,0.0,0.0,0.0,0.0,N,Conflict/insecurity,,,19191289.0,16743796799.8329,872.468587171653
MMR,Myanmar,ASIA,2016,Whole country,35000000.0,0.6744732253303855,700000.0,0.02,32500000,0.9285714285714286,1800000.0,0.05142857142857143,,,,,,,N,Weather extremes,,,51495696.0,63298361996.2153,1229.19713515893
MNE,Montenegro,EU,2016,,,,,,,,,,,,,,,,,,,,625353.0,4376930578.32395,6999.1358134109
MNG,Mongolia,ASIA,2016,,,,,,,,,,,,,,,,,,,,3088856.0,11181350649.3573,3619.90026383792
MOZ,Mozambique,CS AFRICA,2016,Whole country,12451985.0,0.4712444239762276,1910536.0,0.15343224393540467,6378607,0.512256238663956,4162842.0,0.33431151740063936,1501172.0,0.1205568429451208,409364.0,0.03287540099028388,0.0,0.0,Y,Weather extremes,,,27337105.0,12069051237.1711,441.489734819071
MRT,Mauritania,WEST AFRICA,2016,Whole country,3735019.0,0.9,118851.0,0.03182072166165688,3124618,0.8365735221159517,491550.0,0.13160575622239137,118851.0,0.03182072166165688,0.0,0.0,0.0,0.0,N,Conflict/insecurity,,,4086657.0,6398747592.13185,1565.76575722696
MUS,Mauritius,CS AFRICA,2016,,,,,,,,,,,,,,,,,,,,1263747.0,12594155464.4136,9965.72531085228
MWI,Malawi,CS AFRICA,2016,Whole country,14500000.0,0.8630952380952381,6700000.0,0.46206896551724136,merged with Phase 2 ,,7800000.0,0.5379310344827586,,,,,,,Y,Weather extremes,,,17557739.0,7909868618.46366,450.506105510719
MYS,Malaysia,ASIA,2016,,,,,,,,,,,,,,,,,,,,31789685.0,301256033870.334,9476.53409809923
NAM,Namibia,CS AFRICA,2016,,1300000.0,0.5595363939687141,596000.0,0.4584615384615385,571000,0.43923076923076926,133000.0,0.10230769230769231,,,,,,,N,Weather extremes,,,2439213.0,10722018732.0936,4395.68776162376
NER,Niger,WEST AFRICA,2016,Whole country,18044597.0,0.87,326696.88999999996,0.01810497014701963,15223535.110000001,0.8436616849908037,2494365.0,0.13823334486217675,321732.04,0.01782982684512156,4964.85,0.0002751433018980696,0.0,0.0,Y,Conflict/insecurity,,,20685753.0,10398861981.7583,502.706475406446
